id,codice,nome,direzione,url,km,strada,localita,comune,comunita_valle,zona_tn,latitudine,longitude,timestamp,veicoli
17,12,CAM42,Rovereto,http://vit.trilogis.it/cam/cam42.jpg,367.10,SS 12,Mattarello Sud,Trento,Territorio Val d'Adige,0,45.970436,11.113057,2025-02-13 04:53:46,0
44,55,CAM72,Trento,http://vit.trilogis.it/cam/cam72.jpg,371.84,SS 12,Mattarello,Trento,Territorio Val d'Adige,0,46.010178,11.125,2025-02-13 04:54:04,0
24,36,CAM49,Rovereto,http://vit.trilogis.it/cam/cam49.jpg,375.30,SS 12,Ravina Cavalcavia,Trento,Territorio Val d'Adige,0,46.03916667,11.1225,2025-02-13 04:54:04,0
25,37,CAM50,Bolzano,http://vit.trilogis.it/cam/cam50.jpg,375.30,SS 12,Ravina Cavalcavia,Trento,Territorio Val d'Adige,0,46.03916667,11.1225,2025-02-13 04:54:02,0
12,13,CAM35,Verona,http://vit.trilogis.it/cam/cam35.jpg,378.00,SS 12,Piedicastello SUD (U4-U5),Trento,Territorio Val d'Adige,0,46.0614,11.1107,2025-02-13 04:54:03,0
30,42,CAM55,Bolzano,http://vit.trilogis.it/cam/cam55.jpg,378.00,SS 12,Piedicastello SUD (U5),Trento,Territorio Val d'Adige,0,46.06111111,11.11055556,2025-02-13 04:54:02,0
999,999,CAM47,Rovereto,http://vit.trilogis.it/cam/cam47.jpg,379.60,SS 12,Trento Centro (U6),Trento,Vallagarina,0,46.07708144,11.11234903,2025-02-13 04:53:35,1
11,14,CAM34,Bolzano,http://vit.trilogis.it/cam/cam34.jpg,382.50,SS 12,Trento Commerciale (U8),Trento,Territorio Val d'Adige,0,46.0846,11.1098,2025-02-13 04:54:03,0
29,41,CAM54,Rovereto,http://vit.trilogis.it/cam/cam54.jpg,382.50,SS 12,Trento Commerciale (U7),Trento,Territorio Val d'Adige,0,46.08555556,11.1075,2025-02-13 04:54:03,0
9,16,CAM31,Bolzano,http://vit.trilogis.it/cam/cam31.jpg,398.20,SS 12,Cadino,Faedo,Rotaliana e Koenigsberg,0,46.2115,11.1521,2025-02-13 04:53:30,0
39,51,CAM67,Brescia,http://vit.trilogis.it/cam/cam67.jpg,150.00,SS 42,Passo del Tonale,Vermiglio,Valle di Sole,0,46.263292,10.611749,2025-02-13 04:54:02,0
10,1,CAM32,Malè,http://vit.trilogis.it/cam/cam32.jpg,189.20,SS 42,Mostizzolo,Cis,Val di Non,0,46.3946,11.008859,2025-02-13 04:53:43,0
63,84,CAM84,Bolzano,http://vit.trilogis.it/cam/cam84.jpg,220.13,SS 42,Passo Mendola,Ruffrè Mendola,Val di Non,0,46.417947,11.205701,2025-02-13 04:54:07,0
80,95,CAM95,Cles,http://vit.trilogis.it/cam/cam95.jpg,11.5,SS 43,Taio Nord,Predaia,Val di Non,2,46.3188372119956,11.0663062963298,2025-02-13 04:54:07,0
8,30,CAM30,Cles,http://vit.trilogis.it/cam/cam30.jpg,15.60,SS 43,Mollaro,Predaia,Val di Non,0,46.29417,11.067052,2025-02-13 04:54:15,0
16,9,CAM41,Vad di Non,http://vit.trilogis.it/cam/cam41.jpg,24.50,SS 43,Mezzolombardo Nord,Mezzolombardo,Rotaliana e Koenigsberg,0,46.225958,11.08057,2025-02-13 04:54:05,0
23,35,CAM48,Val di Non,http://vit.trilogis.it/cam/cam48.jpg,25.30,SS 43,Mezzolombardo Campo sportivo,Mezzolombardo,Rotaliana e Koenigsberg,0,46.21972222,11.08444444,2025-02-13 04:54:04,0
64,85,CAM85,Riva del Garda,http://vit.trilogis.it/cam/cam85.jpg,148.36,SS 45 bis,Cadine,Trento,Territorio Val d'Adige,0,46.091634,11.059149,2025-02-13 04:54:04,0
31,43,CAM56,Riva,http://vit.trilogis.it/cam/cam56.jpg,150.090,SS 45 bis,Cadine,Trento,Territorio Val d'Adige,0,46.08444444,11.07138889,2025-02-13 04:54:08,0
26,38,CAM51,Cadine,http://vit.trilogis.it/cam/cam51.jpg,153.10,SS 45 bis,Trento Centro,Trento,Territorio Val d'Adige,0,46.07611111,11.11111111,2025-02-13 04:54:03,0
83,98,CAM98,Pian delle Fugazze,http://vit.trilogis.it/cam/cam98.jpg,45,SS 46,Pian delle Fugazze,Vallarsa,Vallagarina,1,45.7579477732709,11.177948905555,2025-02-13 04:54:13,0
28,40,CAM53,Padova,http://vit.trilogis.it/cam/cam53.jpg,81.50,SS 47,Grigno Ovest,Grigno,Valsugana e Tesino,0,46.01388889,11.62305556,2025-02-13 04:54:11,0
43,54,CAM71,Trento,http://vit.trilogis.it/cam/cam71.jpg,101.00,SS 47,Marter,Roncegno Terme,Valsugana e Tesino,0,46.0372,11.3993,2025-02-13 04:54:21,0
18,19,CAM43,Padova,http://vit.trilogis.it/cam/cam43.jpg,105.70,SS 47,Campiello,Levico Terme,Alta Valsugana e Bersntol,0,46.0180867,11.3493651,2025-02-13 04:52:27,0
14,20,CAM39,Borgo Valsugana,http://vit.trilogis.it/cam/cam39.jpg,117.20,SS 47,San Cristoforo,Pergine Valsugana,Alta Valsugana e Bersntol,0,46.04016733,11.2385416,2025-02-13 04:54:04,0
41,52,CAM69,Trento,http://vit.trilogis.it/cam/cam69.jpg,119.25,SS 47,Pergine Centro,Pergine Valsugana,Alta Valsugana e Bersntol,0,46.057118,11.231318,2025-02-13 04:53:50,0
61,82,CAM82,Pergine,http://vit.trilogis.it/cam/cam82.jpg,124,SS 47,Cirè-Civezzano,Pergine Valsugana,Alta Valsugana e Bersntol,0,46.0831403,11.1836956,2025-02-13 04:54:11,0
21,23,CAM46,Trento,http://vit.trilogis.it/cam/cam46.jpg,129.60,SS 47,Trento Est (U10),Trento,Territorio Val d'Adige,0,46.09363396,11.12183332,2025-02-13 04:54:04,0
59,45,CAM60,Passo S.Lugano,http://vit.trilogis.it/cam/cam60.jpg,20.00,SS 48,Stazione Castello,Castello Molina di Fiemme,Val di Fiemme,0,46.289142,11.41928,2025-02-13 04:54:07,0
20,29,CAM45,Predazzo,http://vit.trilogis.it/cam/cam45.jpg,35.60,SS 48,Predazzo,Predazzo,Val di Fiemme,0,46.29982,11.587315,2025-02-13 04:53:30,0
4,30,CAM6,Canazei,http://vit.trilogis.it/cam/cam6.jpg,48.00,SS 48,Moena nord,Moena,Val di Fassa,0,46.386063,11.66835,2025-02-13 04:54:12,0
97,113,CAM113,Mazzin,http://vit.trilogis.it/cam/cam113.jpg,57.080,SS 48,Mazzin,Mazzin,Val di Fassa,0,46.4544990407577,11.6993171362686,2025-02-13 04:54:14,0
47,60,CAM75,Canazei,http://vit.trilogis.it/cam/cam75.jpg,76.10,SS 48,Passo Pordoi,Canazei,Val di Fassa,0,46.488084,11.8111,2025-02-13 04:54:03,0
19,17,CAM44,Imer,http://vit.trilogis.it/cam/cam44.jpg,65.20,SS 50,Totoga,Imer,Primiero,0,46.139463,11.772516,2025-02-13 04:54:09,0
